bar num, offset
1, 00:01:260
2, 00:02:341
3, 00:03:422
4, 00:04:503
5, 00:05:584
6, 00:06:665
7, 00:07:746
8, 00:08:827
9, 00:09:908
10, 00:10:989
11, 00:12:070
12, 00:13:151
13, 00:14:232
14, 00:15:314
15, 00:16:395
16, 00:17:476
17, 00:18:557
18, 00:19:638
19, 00:20:719
20, 00:21:800
21, 00:22:881
22, 00:23:962
23, 00:25:043
24, 00:26:124
25, 00:27:205
26, 00:28:287
27, 00:29:368
28, 00:30:449
29, 00:31:530
30, 00:32:611
31, 00:33:692
32, 00:34:773
33, 00:35:854
34, 00:36:935
35, 00:38:016
36, 00:39:097
37, 00:40:178
38, 00:41:259
39, 00:42:341
40, 00:43:422
41, 00:44:503
42, 00:45:584
43, 00:46:665
44, 00:47:746
45, 00:48:827
46, 00:49:908
47, 00:50:989
48, 00:52:070
49, 00:53:151
50, 00:54:232
51, 00:55:314
52, 00:56:395
53, 00:57:476
54, 00:58:557
55, 00:59:638
56, 01:00:719
57, 01:01:800
58, 01:02:881
59, 01:03:962
60, 01:05:043
61, 01:06:124
62, 01:07:205
63, 01:08:287
64, 01:09:368
65, 01:10:449
66, 01:11:530
67, 01:12:611
68, 01:13:692
69, 01:14:773
70, 01:15:854
71, 01:16:935
72, 01:18:016
73, 01:19:097
74, 01:20:178
75, 01:21:259
76, 01:22:341
77, 01:23:422
78, 01:24:503
79, 01:25:584
80, 01:26:665
81, 01:27:746
82, 01:28:827
83, 01:29:908
84, 01:30:989
85, 01:32:070
86, 01:33:151
87, 01:34:232
88, 01:35:314
89, 01:36:395
90, 01:37:476
91, 01:38:557
92, 01:39:638
93, 01:40:719
94, 01:41:800
95, 01:42:881
96, 01:43:962
97, 01:45:043
98, 01:46:124
99, 01:47:205
100, 01:48:287
101, 01:49:368
102, 01:50:449
103, 01:51:530
104, 01:52:611
105, 01:53:692
106, 01:54:773
107, 01:55:854
108, 01:56:935
109, 01:58:016
110, 01:59:097
111, 02:00:178
112, 02:01:259
113, 02:02:341
114, 02:03:422
115, 02:04:503
116, 02:05:584
117, 02:06:665
118, 02:07:746
119, 02:08:827
120, 02:09:908
121, 02:10:989
122, 02:12:070
123, 02:13:151
124, 02:14:232
125, 02:15:314
126, 02:16:395
127, 02:17:476
128, 02:18:557
129, 02:19:638
130, 02:20:719
131, 02:21:800
132, 02:22:881
133, 02:23:962
134, 02:25:043
135, 02:26:124
136, 02:27:205
137, 02:28:287
138, 02:29:368
139, 02:30:449
140, 02:31:530
141, 02:32:611
