bar num, offset
1, 00:01:199
2, 00:02:533
3, 00:03:866
4, 00:05:199
5, 00:06:532
6, 00:07:866
7, 00:09:199
8, 00:10:533
9, 00:11:866
10, 00:13:199
11, 00:14:533
12, 00:15:866
13, 00:17:199
14, 00:18:533
15, 00:19:866
16, 00:21:199
17, 00:22:532
18, 00:23:866
19, 00:25:199
20, 00:26:532
21, 00:27:866
22, 00:29:199
23, 00:30:532
24, 00:31:866
25, 00:33:199
26, 00:34:532
27, 00:35:866
28, 00:37:199
29, 00:38:533
30, 00:39:866
31, 00:41:199
32, 00:42:533
33, 00:43:866
34, 00:45:199
35, 00:46:533
36, 00:47:866
37, 00:49:199
38, 00:50:533
39, 00:51:866
40, 00:53:199
41, 00:54:533
42, 00:55:866
43, 00:57:199
44, 00:58:533
45, 00:59:866
46, 01:01:199
47, 01:02:533
48, 01:03:866
49, 01:05:199
50, 01:06:533
51, 01:07:866
52, 01:09:199
53, 01:10:533
54, 01:11:866
55, 01:13:199
56, 01:14:533
57, 01:15:866
58, 01:17:199
59, 01:18:533
60, 01:19:866
61, 01:21:199
62, 01:22:532
63, 01:23:866
64, 01:25:199
65, 01:26:532
66, 01:27:866
67, 01:29:199
68, 01:30:532
69, 01:31:866
70, 01:33:199
71, 01:34:532
72, 01:35:866
73, 01:37:199
74, 01:38:532
75, 01:39:866
76, 01:41:199
77, 01:42:532
78, 01:43:866
79, 01:45:199
80, 01:46:532
81, 01:47:866
82, 01:49:199
83, 01:50:532
84, 01:51:866
85, 01:53:199
86, 01:54:532
87, 01:55:866
88, 01:57:199
89, 01:58:532
90, 01:59:866
91, 02:01:199
92, 02:02:532
93, 02:03:866
94, 02:05:199
95, 02:06:532
96, 02:07:866
97, 02:09:199
98, 02:10:532
99, 02:11:866
100, 02:13:199
101, 02:14:532
102, 02:15:866
103, 02:17:199
104, 02:18:532
105, 02:19:866
106, 02:21:199
107, 02:22:532
108, 02:23:866
109, 02:25:199
110, 02:26:532
111, 02:27:866
112, 02:29:199
113, 02:30:532
114, 02:31:866
115, 02:33:199
116, 02:34:532
117, 02:35:866
118, 02:37:199
119, 02:38:533
120, 02:39:866
121, 02:41:199
122, 02:42:533
123, 02:43:866
124, 02:45:199
125, 02:46:533
126, 02:47:866
127, 02:49:199
128, 02:50:533
129, 02:51:866
130, 02:53:199
131, 02:54:533
132, 02:55:866
133, 02:57:199
134, 02:58:533
135, 02:59:866
136, 03:01:199
137, 03:02:533
138, 03:03:866
139, 03:05:199
140, 03:06:533
141, 03:07:866
142, 03:09:199
143, 03:10:533
144, 03:11:866
145, 03:13:199
146, 03:14:533
147, 03:15:866
148, 03:17:199
149, 03:18:533
150, 03:19:866
151, 03:21:199
152, 03:22:533
153, 03:23:866
154, 03:25:199
155, 03:26:533
156, 03:27:866
157, 03:29:199
158, 03:30:533
159, 03:31:866
160, 03:33:199
161, 03:34:533
162, 03:35:866
163, 03:37:199
164, 03:38:533
165, 03:39:866
166, 03:41:199
167, 03:42:533
168, 03:43:866
169, 03:45:199
170, 03:46:533
171, 03:47:866
172, 03:49:199
173, 03:50:533
174, 03:51:866
175, 03:53:199
176, 03:53:866
177, 03:54:241
178, 03:55:980
179, 03:57:719
180, 03:59:458
181, 04:01:197
182, 04:02:936
183, 04:04:252
184, 04:05:770
185, 04:07:289
186, 04:08:808
187, 04:10:327
188, 04:11:846
189, 04:13:365
190, 04:14:884
191, 04:16:403
192, 04:17:922
193, 04:19:441
194, 04:20:960
195, 04:22:479
196, 04:23:998
197, 04:25:517
198, 04:27:036
199, 04:28:555
200, 04:30:074
201, 04:31:593
202, 04:33:112
203, 04:34:631
204, 04:36:150
205, 04:37:669
206, 04:39:188
207, 04:40:707
208, 04:42:226
209, 04:43:745
210, 04:45:264
211, 04:46:783
212, 04:48:302
213, 04:49:821
214, 04:51:340
215, 04:52:859
216, 04:54:378
217, 04:55:897
218, 04:57:416
219, 04:58:935
220, 05:00:454
221, 05:01:973
222, 05:03:492
223, 05:05:011
224, 05:06:530
225, 05:08:049
226, 05:09:568
227, 05:11:087
228, 05:12:606
229, 05:14:125
230, 05:15:644
231, 05:17:163
232, 05:18:682
233, 05:20:201
234, 05:21:720
235, 05:23:239
236, 05:24:758
237, 05:26:277
238, 05:27:796
239, 05:29:315
240, 05:30:834
241, 05:32:353
242, 05:33:872
243, 05:35:391
244, 05:36:910
245, 05:38:429
